pair_id	component_id	role	consumption_status
GG2050-PAIR-20260907T141211Z-W	gridatlas:atlas/cartridges/202609041945-streaming-parquet-bridge-v9-5.js	cartridge	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	gridatlas:atlas/cartridges/202609071213-place-global-search-v9-5.js	cartridge	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	gridatlas:atlas/cartridges/202609071232-sld-sandbox-v9-8.js	cartridge	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	gridatlas:atlas/cartridges/202609062358-substation-intelligence-v9-63.js	cartridge	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	gridatlas:atlas/index.html	composition	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	gridatlas:atlas/current.json	composition	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	gridatlas:atlas/releases/202608300453-atlas-v9/index.html	shell	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	gridatlas:atlas/releases/202608300453-atlas-v9/ventus-corev8engine.js	shell	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	gridatlas:atlas/data/interconnector-endpoints.json	dataset	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	gridatlas:atlas/data/interconnectors.geojson	dataset	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	gridatlas:atlas/data/offshore-coordinates.json	dataset	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	gridatlas:atlas/deeplink/receivers.json	contract	DERIVED_FROM_ENGINE_CONTRACT
GG2050-PAIR-20260907T141211Z-W	gridatlas:atlas/manifests/202609071232-composition.json	composition	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/fallback.v8.0.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/interconnectors.v9.8.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/legacy-integrity.v9.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/mvp.v8.1.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/news-module-registry.v9.7.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/north-star.v1.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/plugin.v1.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/project-spine.v7.2.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/projects-plugin.v7.2.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/regional-news-sources.v9.7.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/release.v9.0.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/release.v9.1.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/release.v9.2.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/release.v9.3.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/release.v9.4.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/release.v9.5.1.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/release.v9.5.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/release.v9.6.1.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/release.v9.6.2.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/contracts/release.v9.7.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/data/v9.8/interconnectors.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/data/v9.8/interconnectors_manifest.json	pipeline	COPIED_AS_GIT_BLOB
GG2050-PAIR-20260907T141211Z-W	globalgrid2050:pipeline/index.html	pipeline	REBOUND_FOR_PAIR
